,fdc_id,brand_owner,brand_name,subbrand_name,gtin_upc,ingredients,not_a_significant_source_of,serving_size,serving_size_unit,household_serving_fulltext,branded_food_category,data_source,package_weight,modified_date,available_date,market_country,discontinued_date,preparation_state_code,trade_channel
152302,463029,"JBS USA, LLC",,,76338993765,"BEEF, SOLUTION INGREDIENTS: WATER, POTASSIUM CITRATE, SALT, VINEGAR, NATURAL FLAVOR. *COATED WITH: WATER, SEASONING (MALTODEXTRIN, SPICES, SALT, DEHYDRATED GARLIC, DEHYDRATED ONION, GARLIC POWDER)",,112.0,g,4 ONZ,Other Meats,LI,,2017-10-13,2019-04-01,United States,,,
204281,515008,"JBS USA, LLC",,,076338470150,GROUND BEEF.,,227.0,g,1 PATTY,Other Meats,LI,,2018-02-07,2019-04-01,United States,,,
212187,522914,"JBS USA, LLC",,,076338428137,GROUND BEEF,,112.0,g,4 ONZ,Other Meats,LI,,2018-02-16,2019-04-01,United States,,,
231577,542304,"JBS USA, LLC",,,76338816651,GROUND BEEF,,112.0,g,1 PATTY,Other Meats,LI,,2018-06-14,2019-04-01,United States,,,
266336,577063,"JBS USA, LLC",,,076338426140,,,112.0,g,4 ONZ,Other Meats,LI,,2018-02-07,2019-04-01,United States,,,
267379,578106,"JBS USA, LLC",,,076338470600,,,112.0,g,4 ONZ,Other Meats,LI,,2018-02-07,2019-04-01,United States,,,
267418,578145,"JBS USA, LLC",,,076338471539,,,112.0,g,4 ONZ,Other Frozen Meats,LI,,2018-02-07,2019-04-01,United States,,,
378191,777380,"JBS USA, LLC",,,45310254651,"PORK, SUGAR, LESS THAN 2% OF: TOMATO POWDER, SALT, BLACK PEPPER, CHILI PEPPER, ALLSPICE, CINNAMON, GINGER, PINEAPPLE JUICE CONCENTRATE, MOLASSES, VINEGAR, SMOKED SUGAR, AND NATURAL FLAVORS.",,112.0,g,4 ONZ,Other Meats,LI,,2020-02-03,2020-02-27,United States,,,
411318,856030,"JBS USA, LLC",,,76338428137,GROUND BEEF,,112.0,g,4 ONZ,Other Meats,LI,,2020-04-13,2020-05-28,United States,,,
414843,863080,"JBS USA, LLC",,,76338816651,GROUND BEEF,,112.0,g,1 PATTY,Other Meats,LI,,2020-04-13,2020-05-28,United States,,,
419506,872406,"JBS USA, LLC",,,76338965250,100% GRASS FED BEEF,,112.0,g,4 ONZ,Other Meats,LI,,2020-03-16,2020-05-28,United States,,,
438682,910758,"JBS USA, LLC",,,045310254651,"PORK, SUGAR, LESS THAN 2% OF: TOMATO POWDER, SALT, BLACK PEPPER, CHILI PEPPER, ALLSPICE, CINNAMON, GINGER, PINEAPPLE JUICE CONCENTRATE, MOLASSES, VINEGAR, SMOKED SUGAR, AND NATURAL FLAVORS.",,112.0,g,4 ONZ,Other Meats,LI,,2020-04-08,2020-05-28,United States,,,
442559,918512,"JBS USA, LLC",,,045310282265,"PORK, LESS THAN 2% OF: DEHYDRATED GARLIC & ONION, SALT, BLACK PEPPER, PARSLEY, CHILI PEPPER, RED PEPPER, THYME, OREGANO, BASIL, SUGAR, TOMATO POWDER, DEHYDRATED RED BELL PEPPER, LEMON JUICE POWDER (LEMON JUICE & LEMON OIL), YEAST EXTRACT, CORN STARCH, EXTRA VIRGIN OLIVE OIL, NATURAL FLAVORS, ROSEMARY EXTRACT, GREEN TEA EXTRACT, AND VINEGAR.",,112.0,g,4 ONZ,Other Meats,LI,,2020-04-08,2020-05-28,United States,,,
443823,921040,"JBS USA, LLC",,,045310282470,"PORK, LESS THAN 2% OF: SUGAR, SALT, CHILI PEPPER, BLACK PEPPER, CORN STARCH, DEHYDRATED ONION & GARLIC, POTASSIUM SALT, DEHYDRATED BELL PEPPER, DEHYDRATED ORANGE ZEST, SMOKED SUGARS INCLUDING MESQUITE, RED PEPPER EXTRACT, SOYBEAN OIL, ROSEMARY EXTRACT, GREEN TEA EXTRACT, AND VINEGAR.",,112.0,g,4 ONZ,Other Meats,LI,,2020-04-08,2020-05-28,United States,,,
443843,921080,"JBS USA, LLC",,,045310282579,"PORK, LESS THAN 2% OF: DEHYDRATED GARLIC & ONION, SALT, BLACK PEPPER, CORIANDER, PARSLEY, CARAWAY, MARJORAM, THYME, SUGAR, YEAST EXTRACT, SMOKED SUGAR, DEHYDRATED BELL PEPPER, CORN STARCH, GARLIC EXTRACT, BLACK PEPPER EXTRACT, ASCORBIC ACID (VITAMIN C), ROSEMARY EXTRACT, GREEN TEA EXTRACT, AND VINEGAR.",,112.0,g,4 ONZ,Other Meats,LI,,2020-04-08,2020-05-28,United States,,,
444390,922174,"JBS USA, LLC",,,076338473991,GROUND BEEF,,112.0,g,4 ONZ,Other Meats,LI,,2020-04-08,2020-05-28,United States,,,
444571,922536,"JBS USA, LLC",,,045310952205,"BEEF, LESS THAN 2% OF: SALT, BROWN SUGAR, SUGAR, CHILI PEPPER, BLACK PEPPER, WHITE PEPPER, CUMIN, RED PEPPER, ALLSPICE, TOMATO POWDER, YEAST EXTRACT, DRIED ONION, DRIED GARLIC, CHIPOTLE PEPPER, NATURAL SMOKE FLAVOR, VINEGAR, NATURAL FLAVORS, ROSEMARY EXTRACT, GREEN TEA EXTRACT, AND CANOLA & OLIVE OIL.",,112.0,g,4 ONZ,Other Meats,LI,,2020-04-08,2020-05-28,United States,,,
475618,984633,"JBS USA, LLC",,,76338428137,GROUND BEEF,,112.0,g,4 ONZ,Other Meats,LI,,2020-04-13,2020-06-26,United States,,,
481495,996387,"JBS USA, LLC",,,76338816651,GROUND BEEF,,112.0,g,1 PATTY,Other Meats,LI,,2020-04-13,2020-06-26,United States,,,
487476,1008349,"JBS USA, LLC",,,76338965250,INGREDIENTS: 100% GRASS FED BEEF,,112.0,g,4 ONZ,Other Meats,LI,,2020-05-14,2020-06-26,United States,,,
498269,1029935,"JBS USA, LLC",,,045310254651,"PORK, SUGAR, LESS THAN 2% OF: TOMATO POWDER, SALT, BLACK PEPPER, CHILI PEPPER, ALLSPICE, CINNAMON, GINGER, PINEAPPLE JUICE CONCENTRATE, MOLASSES, VINEGAR, SMOKED SUGAR, AND NATURAL FLAVORS.",,112.0,g,4 ONZ,Other Meats,LI,,2020-04-08,2020-06-26,United States,,,
499965,1033327,"JBS USA, LLC",,,045310282265,"PORK, LESS THAN 2% OF: DEHYDRATED GARLIC & ONION, SALT, BLACK PEPPER, PARSLEY, CHILI PEPPER, RED PEPPER, THYME, OREGANO, BASIL, SUGAR, TOMATO POWDER, DEHYDRATED RED BELL PEPPER, LEMON JUICE POWDER (LEMON JUICE & LEMON OIL), YEAST EXTRACT, CORN STARCH, EXTRA VIRGIN OLIVE OIL, NATURAL FLAVORS, ROSEMARY EXTRACT, GREEN TEA EXTRACT, AND VINEGAR.",,112.0,g,4 ONZ,Other Meats,LI,,2020-04-08,2020-06-26,United States,,,
501073,1035543,"JBS USA, LLC",,,045310282470,"PORK, LESS THAN 2% OF: SUGAR, SALT, CHILI PEPPER, BLACK PEPPER, CORN STARCH, DEHYDRATED ONION & GARLIC, POTASSIUM SALT, DEHYDRATED BELL PEPPER, DEHYDRATED ORANGE ZEST, SMOKED SUGARS INCLUDING MESQUITE, RED PEPPER EXTRACT, SOYBEAN OIL, ROSEMARY EXTRACT, GREEN TEA EXTRACT, AND VINEGAR.",,112.0,g,4 ONZ,Other Meats,LI,,2020-04-08,2020-06-26,United States,,,
501092,1035581,"JBS USA, LLC",,,045310282579,"PORK, LESS THAN 2% OF: DEHYDRATED GARLIC & ONION, SALT, BLACK PEPPER, CORIANDER, PARSLEY, CARAWAY, MARJORAM, THYME, SUGAR, YEAST EXTRACT, SMOKED SUGAR, DEHYDRATED BELL PEPPER, CORN STARCH, GARLIC EXTRACT, BLACK PEPPER EXTRACT, ASCORBIC ACID (VITAMIN C), ROSEMARY EXTRACT, GREEN TEA EXTRACT, AND VINEGAR.",,112.0,g,4 ONZ,Other Meats,LI,,2020-04-08,2020-06-26,United States,,,
506329,1046055,"JBS USA, LLC",,,076338966660,INGREDIENTS: 100% GRASS FED BEEF,,112.0,g,4 ONZ,Other Meats,LI,,2020-05-14,2020-06-26,United States,,,
507432,1048261,"JBS USA, LLC",,,076338810949,BEEF,,112.0,g,4 ONZ,Other Meats,LI,,2020-05-29,2020-06-26,United States,,,
516574,1066545,"JBS USA, LLC",,,076338966752,100% GRASS FED BEEF,,112.0,g,4 ONZ,Other Meats,LI,,2020-06-19,2020-07-30,United States,,,
576211,1153501,"JBS USA, LLC",,,076338859047,NATURAL BEEF.,,112.0,g,,Other Meats,LI,,2020-11-19,2020-12-30,United States,,,
576221,1153511,"JBS USA, LLC",,,076338859054,NATURAL BEEF.,,112.0,g,,Other Meats,LI,,2020-11-19,2020-12-30,United States,,,
576456,1153746,"JBS USA, LLC",,,076338859016,NATURAL BEEF.,,112.0,g,,Other Meats,LI,,2020-11-19,2020-12-30,United States,,,
585735,1163025,"JBS USA, LLC",,,076338425501,"BEEF, WATER, BEEF HEARTS, SOY FLOUR, SODIUM LACTATE, SALT, SPICES, NATURAL FLAVORINGS, SUGAR, SODIUM ACETATE, ONION, SILICON DIOXIDE, AND YEAST EXTRACT.",,113.0,g,,Other Meats,LI,,2020-12-19,2021-01-28,United States,,,
677918,1255208,"JBS USA, LLC",CERTIFIED ANGUS BEEF,,76338422333,GROUND BEEF.,,112.0,g,,Other Meats,LI,,2018-02-07,2021-02-26,United States,,,
677919,1255209,"JBS USA, LLC","JBS USA, LLC",,76338471515,GROUND BEEF.,,112.0,g,,Other Meats,LI,,2018-02-07,2021-02-26,United States,,,
677920,1255210,"JBS USA, LLC",JBS,,76338472840,GROUND BEEF.,,112.0,g,,Other Meats,LI,,2018-02-07,2021-02-26,United States,,,
677922,1255212,"JBS USA, LLC",JBS USA,,76338474011,BEEF.,,112.0,g,,Other Meats,LI,,2018-02-07,2021-02-26,United States,,,
677923,1255213,"JBS USA, LLC",JBS USA,,76338473144,LEAN GROUND BEEF.,,112.0,g,,Other Meats,LI,,2018-02-07,2021-02-26,United States,,,
689274,1266564,"JBS USA, LLC",CLEAR RIVER FARMS,,76338993765,"BEEF, SOLUTION INGREDIENTS: WATER, POTASSIUM CITRATE, SALT, VINEGAR, NATURAL FLAVOR. *COATED WITH: WATER, SEASONING (MALTODEXTRIN, SPICES, SALT, DEHYDRATED GARLIC, DEHYDRATED ONION, GARLIC POWDER)",,112.0,g,,Other Meats,LI,,2017-10-13,2021-02-26,United States,,,
736022,1313312,"JBS USA, LLC",GOURMET,,76338470150,GROUND BEEF.,,227.0,g,,Other Meats,LI,,2018-02-07,2021-02-26,United States,,,
742243,1319533,"JBS USA, LLC",NOT A BRANDED ITEM,,76338428137,GROUND BEEF,,112.0,g,,Other Meats,LI,,2020-04-13,2021-02-26,United States,,,
752192,1329482,"JBS USA, LLC",MOYER,,76338420353,GROUND BEEF,,112.0,g,,Other Meats,LI,,2020-11-19,2021-02-26,United States,,,
762348,1339638,"JBS USA, LLC",NOT A BRANDED ITEM,,76338816651,GROUND BEEF,,112.0,g,,Other Meats,LI,,2020-04-13,2021-02-26,United States,,,
781793,1359083,"JBS USA, LLC",GRASS RUN FARMS,,76338965250,INGREDIENTS: 100% GRASS FED BEEF,,112.0,g,,Other Meats,LI,,2020-05-14,2021-02-26,United States,,,
792462,1369752,"JBS USA, LLC","JBS USA, LLC",,76338426140,,,112.0,g,,Other Meats,LI,,2018-02-07,2021-02-26,United States,,,
793541,1370831,"JBS USA, LLC",JBS USA,,76338470600,,,112.0,g,,Other Meats,LI,,2018-02-07,2021-02-26,United States,,,
793582,1370872,"JBS USA, LLC",JBS USA,,76338471539,,,112.0,g,,Other Frozen Meats,LI,,2018-02-07,2021-02-26,United States,,,
834565,1411855,"JBS USA, LLC",ADAPTABLE MEALS,,45310254651,"PORK, SUGAR, LESS THAN 2% OF: TOMATO POWDER, SALT, BLACK PEPPER, CHILI PEPPER, ALLSPICE, CINNAMON, GINGER, PINEAPPLE JUICE CONCENTRATE, MOLASSES, VINEGAR, SMOKED SUGAR, AND NATURAL FLAVORS.",,112.0,g,,Other Meats,LI,,2020-04-08,2021-02-26,United States,,,
838232,1415522,"JBS USA, LLC",ADAPTABLE MEALS,,45310282265,"PORK, LESS THAN 2% OF: DEHYDRATED GARLIC & ONION, SALT, BLACK PEPPER, PARSLEY, CHILI PEPPER, RED PEPPER, THYME, OREGANO, BASIL, SUGAR, TOMATO POWDER, DEHYDRATED RED BELL PEPPER, LEMON JUICE POWDER (LEMON JUICE & LEMON OIL), YEAST EXTRACT, CORN STARCH, EXTRA VIRGIN OLIVE OIL, NATURAL FLAVORS, ROSEMARY EXTRACT, GREEN TEA EXTRACT, AND VINEGAR.",,112.0,g,,Other Meats,LI,,2020-04-08,2021-02-26,United States,,,
839466,1416756,"JBS USA, LLC",ADAPTABLE MEALS,,45310282470,"PORK, LESS THAN 2% OF: SUGAR, SALT, CHILI PEPPER, BLACK PEPPER, CORN STARCH, DEHYDRATED ONION & GARLIC, POTASSIUM SALT, DEHYDRATED BELL PEPPER, DEHYDRATED ORANGE ZEST, SMOKED SUGARS INCLUDING MESQUITE, RED PEPPER EXTRACT, SOYBEAN OIL, ROSEMARY EXTRACT, GREEN TEA EXTRACT, AND VINEGAR.",,112.0,g,,Other Meats,LI,,2020-04-08,2021-02-26,United States,,,
839484,1416774,"JBS USA, LLC",ADAPTABLE,,45310282579,"PORK, LESS THAN 2% OF: DEHYDRATED GARLIC & ONION, SALT, BLACK PEPPER, CORIANDER, PARSLEY, CARAWAY, MARJORAM, THYME, SUGAR, YEAST EXTRACT, SMOKED SUGAR, DEHYDRATED BELL PEPPER, CORN STARCH, GARLIC EXTRACT, BLACK PEPPER EXTRACT, ASCORBIC ACID (VITAMIN C), ROSEMARY EXTRACT, GREEN TEA EXTRACT, AND VINEGAR.",,112.0,g,,Other Meats,LI,,2020-04-08,2021-02-26,United States,,,
840019,1417309,"JBS USA, LLC",THINK PURE,,76338473991,GROUND BEEF,,112.0,g,,Other Meats,LI,,2020-04-08,2021-02-26,United States,,,
840206,1417496,"JBS USA, LLC",ADAPTABLE MEALS,,45310952205,"BEEF, LESS THAN 2% OF: SALT, BROWN SUGAR, SUGAR, CHILI PEPPER, BLACK PEPPER, WHITE PEPPER, CUMIN, RED PEPPER, ALLSPICE, TOMATO POWDER, YEAST EXTRACT, DRIED ONION, DRIED GARLIC, CHIPOTLE PEPPER, NATURAL SMOKE FLAVOR, VINEGAR, NATURAL FLAVORS, ROSEMARY EXTRACT, GREEN TEA EXTRACT, AND CANOLA & OLIVE OIL.",,112.0,g,,Other Meats,LI,,2020-04-08,2021-02-26,United States,,,
855237,1432527,"JBS USA, LLC",GRASS RUN FARMS,,76338966660,INGREDIENTS: 100% GRASS FED BEEF,,112.0,g,,Other Meats,LI,,2020-06-16,2021-02-26,United States,,,
856251,1433541,"JBS USA, LLC",NOT A BRANDED ITEM,,76338810949,BEEF,,112.0,g,,Other Meats,LI,,2020-06-16,2021-02-26,United States,,,
860872,1438162,"JBS USA, LLC",GRASS RUN FARMS,,76338966752,100% GRASS FED BEEF,,112.0,g,,Other Meats,LI,,2020-06-19,2021-02-26,United States,,,
866073,1443363,"JBS USA, LLC",GRASS RUN FARMS,,76338966707,100% GRASS FED BEEF,,112.0,g,,Other Meats,LI,,2020-09-21,2021-02-26,United States,,,
866800,1444090,"JBS USA, LLC",GRASS RUN FARMS,,76338967087,100% GRASS FED BEEF,,112.0,g,,Other Meats,LI,,2020-09-21,2021-02-26,United States,,,
867608,1444898,"JBS USA, LLC",NOT A BRANDED ITEM,,76338811045,GROUND BEEF,,112.0,g,,Other Meats,LI,,2020-10-26,2021-02-26,United States,,,
871361,1448651,"JBS USA, LLC",ASPEN RIDGE,,76338859047,NATURAL BEEF.,,112.0,g,,Other Meats,LI,,2020-11-19,2021-02-26,United States,,,
871370,1448660,"JBS USA, LLC",ASPEN RIDGE,,76338859054,NATURAL BEEF.,,112.0,g,,Other Meats,LI,,2020-11-19,2021-02-26,United States,,,
871598,1448888,"JBS USA, LLC",ASPEN RIDGE,,76338859016,NATURAL BEEF.,,112.0,g,,Other Meats,LI,,2020-11-19,2021-02-26,United States,,,
874681,1451971,"JBS USA, LLC",HILL COUNTRY FARE,,76338425501,"BEEF, WATER, BEEF HEARTS, SOY FLOUR, SODIUM LACTATE, SALT, SPICES, NATURAL FLAVORINGS, SUGAR, SODIUM ACETATE, ONION, SILICON DIOXIDE, AND YEAST EXTRACT.",,113.0,g,,Other Meats,LI,,2021-01-22,2021-02-26,United States,,,
877930,1455220,"JBS USA, LLC",HILL COUNTRY FARE,,76338425518,"BEEF, WATER, BEEF HEARTS, SOY FLOUR, SODIUM LACTATE, SALT, SPICES, NATURAL FLAVORINGS, SUGAR, SODIUM ACETATE, ONION, SILICON DIOXIDE, AND YEAST EXTRACT.",,113.0,g,,Other Meats,LI,,2021-01-22,2021-02-26,United States,,,
969985,1547275,"JBS USA, LLC",CERTIFIED ANGUS BEEF,,76338422333,GROUND BEEF.,,112.0,g,,Other Meats,LI,,2018-02-07,2021-03-19,United States,,,
969986,1547276,"JBS USA, LLC","JBS USA, LLC",,76338471515,GROUND BEEF.,,112.0,g,,Other Meats,LI,,2018-02-07,2021-03-19,United States,,,
969987,1547277,"JBS USA, LLC",JBS,,76338472840,GROUND BEEF.,,112.0,g,,Other Meats,LI,,2018-02-07,2021-03-19,United States,,,
969989,1547279,"JBS USA, LLC",JBS USA,,76338474011,BEEF.,,112.0,g,,Other Meats,LI,,2018-02-07,2021-03-19,United States,,,
969990,1547280,"JBS USA, LLC",JBS USA,,76338473144,LEAN GROUND BEEF.,,112.0,g,,Other Meats,LI,,2018-02-07,2021-03-19,United States,,,
981354,1558644,"JBS USA, LLC",CLEAR RIVER FARMS,,76338993765,"BEEF, SOLUTION INGREDIENTS: WATER, POTASSIUM CITRATE, SALT, VINEGAR, NATURAL FLAVOR. *COATED WITH: WATER, SEASONING (MALTODEXTRIN, SPICES, SALT, DEHYDRATED GARLIC, DEHYDRATED ONION, GARLIC POWDER)",,112.0,g,,Other Meats,LI,,2017-10-13,2021-03-19,United States,,,
1028139,1605429,"JBS USA, LLC",GOURMET,,76338470150,GROUND BEEF.,,227.0,g,,Other Meats,LI,,2018-02-07,2021-03-19,United States,,,
1034373,1611663,"JBS USA, LLC",NOT A BRANDED ITEM,,76338428137,GROUND BEEF,,112.0,g,,Other Meats,LI,,2020-04-13,2021-03-19,United States,,,
1044335,1621625,"JBS USA, LLC",MOYER,,76338420353,GROUND BEEF,,112.0,g,,Other Meats,LI,,2020-11-19,2021-03-19,United States,,,
1054498,1631788,"JBS USA, LLC",NOT A BRANDED ITEM,,76338816651,GROUND BEEF,,112.0,g,,Other Meats,LI,,2020-04-13,2021-03-19,United States,,,
1073983,1651273,"JBS USA, LLC",GRASS RUN FARMS,,76338965250,INGREDIENTS: 100% GRASS FED BEEF,,112.0,g,,Other Meats,LI,,2020-05-14,2021-03-19,United States,,,
1084671,1661961,"JBS USA, LLC","JBS USA, LLC",,76338426140,,,112.0,g,,Other Meats,LI,,2018-02-07,2021-03-19,United States,,,
1085751,1663041,"JBS USA, LLC",JBS USA,,76338470600,,,112.0,g,,Other Meats,LI,,2018-02-07,2021-03-19,United States,,,
1085792,1663082,"JBS USA, LLC",JBS USA,,76338471539,,,112.0,g,,Other Frozen Meats,LI,,2018-02-07,2021-03-19,United States,,,
1126845,1704135,"JBS USA, LLC",ADAPTABLE MEALS,,45310254651,"PORK, SUGAR, LESS THAN 2% OF: TOMATO POWDER, SALT, BLACK PEPPER, CHILI PEPPER, ALLSPICE, CINNAMON, GINGER, PINEAPPLE JUICE CONCENTRATE, MOLASSES, VINEGAR, SMOKED SUGAR, AND NATURAL FLAVORS.",,112.0,g,,Other Meats,LI,,2020-04-08,2021-03-19,United States,,,
1130511,1707801,"JBS USA, LLC",ADAPTABLE MEALS,,45310282265,"PORK, LESS THAN 2% OF: DEHYDRATED GARLIC & ONION, SALT, BLACK PEPPER, PARSLEY, CHILI PEPPER, RED PEPPER, THYME, OREGANO, BASIL, SUGAR, TOMATO POWDER, DEHYDRATED RED BELL PEPPER, LEMON JUICE POWDER (LEMON JUICE & LEMON OIL), YEAST EXTRACT, CORN STARCH, EXTRA VIRGIN OLIVE OIL, NATURAL FLAVORS, ROSEMARY EXTRACT, GREEN TEA EXTRACT, AND VINEGAR.",,112.0,g,,Other Meats,LI,,2020-04-08,2021-03-19,United States,,,
1131746,1709036,"JBS USA, LLC",ADAPTABLE MEALS,,45310282470,"PORK, LESS THAN 2% OF: SUGAR, SALT, CHILI PEPPER, BLACK PEPPER, CORN STARCH, DEHYDRATED ONION & GARLIC, POTASSIUM SALT, DEHYDRATED BELL PEPPER, DEHYDRATED ORANGE ZEST, SMOKED SUGARS INCLUDING MESQUITE, RED PEPPER EXTRACT, SOYBEAN OIL, ROSEMARY EXTRACT, GREEN TEA EXTRACT, AND VINEGAR.",,112.0,g,,Other Meats,LI,,2020-04-08,2021-03-19,United States,,,
1131764,1709054,"JBS USA, LLC",ADAPTABLE,,45310282579,"PORK, LESS THAN 2% OF: DEHYDRATED GARLIC & ONION, SALT, BLACK PEPPER, CORIANDER, PARSLEY, CARAWAY, MARJORAM, THYME, SUGAR, YEAST EXTRACT, SMOKED SUGAR, DEHYDRATED BELL PEPPER, CORN STARCH, GARLIC EXTRACT, BLACK PEPPER EXTRACT, ASCORBIC ACID (VITAMIN C), ROSEMARY EXTRACT, GREEN TEA EXTRACT, AND VINEGAR.",,112.0,g,,Other Meats,LI,,2020-04-08,2021-03-19,United States,,,
1132300,1709590,"JBS USA, LLC",THINK PURE,,76338473991,GROUND BEEF,,112.0,g,,Other Meats,LI,,2020-04-08,2021-03-19,United States,,,
1132486,1709776,"JBS USA, LLC",ADAPTABLE MEALS,,45310952205,"BEEF, LESS THAN 2% OF: SALT, BROWN SUGAR, SUGAR, CHILI PEPPER, BLACK PEPPER, WHITE PEPPER, CUMIN, RED PEPPER, ALLSPICE, TOMATO POWDER, YEAST EXTRACT, DRIED ONION, DRIED GARLIC, CHIPOTLE PEPPER, NATURAL SMOKE FLAVOR, VINEGAR, NATURAL FLAVORS, ROSEMARY EXTRACT, GREEN TEA EXTRACT, AND CANOLA & OLIVE OIL.",,112.0,g,,Other Meats,LI,,2020-04-08,2021-03-19,United States,,,
1147538,1724828,"JBS USA, LLC",GRASS RUN FARMS,,076338966660,INGREDIENTS: 100% GRASS FED BEEF,,112.0,g,,Other Meats,LI,,2020-06-16,2021-03-19,United States,,,
1148552,1725842,"JBS USA, LLC",NOT A BRANDED ITEM,,076338810949,BEEF,,112.0,g,,Other Meats,LI,,2020-06-16,2021-03-19,United States,,,
1153176,1730466,"JBS USA, LLC",GRASS RUN FARMS,,076338966752,100% GRASS FED BEEF,,112.0,g,,Other Meats,LI,,2020-06-19,2021-03-19,United States,,,
1158379,1735669,"JBS USA, LLC",GRASS RUN FARMS,,076338966707,100% GRASS FED BEEF,,112.0,g,,Other Meats,LI,,2020-09-21,2021-03-19,United States,,,
1159108,1736398,"JBS USA, LLC",GRASS RUN FARMS,,076338967087,100% GRASS FED BEEF,,112.0,g,,Other Meats,LI,,2020-09-21,2021-03-19,United States,,,
1159916,1737206,"JBS USA, LLC",NOT A BRANDED ITEM,,076338811045,GROUND BEEF,,112.0,g,,Other Meats,LI,,2020-10-26,2021-03-19,United States,,,
1163669,1740959,"JBS USA, LLC",ASPEN RIDGE,,076338859047,NATURAL BEEF.,,112.0,g,,Other Meats,LI,,2020-11-19,2021-03-19,United States,,,
1163678,1740968,"JBS USA, LLC",ASPEN RIDGE,,076338859054,NATURAL BEEF.,,112.0,g,,Other Meats,LI,,2020-11-19,2021-03-19,United States,,,
1163906,1741196,"JBS USA, LLC",ASPEN RIDGE,,076338859016,NATURAL BEEF.,,112.0,g,,Other Meats,LI,,2020-11-19,2021-03-19,United States,,,
1166988,1744278,"JBS USA, LLC",HILL COUNTRY FARE,,076338425501,"BEEF, WATER, BEEF HEARTS, SOY FLOUR, SODIUM LACTATE, SALT, SPICES, NATURAL FLAVORINGS, SUGAR, SODIUM ACETATE, ONION, SILICON DIOXIDE, AND YEAST EXTRACT.",,113.0,g,,Other Meats,LI,,2021-01-22,2021-03-19,United States,,,
1170276,1747566,"JBS USA, LLC",HILL COUNTRY FARE,,076338425518,"BEEF, WATER, BEEF HEARTS, SOY FLOUR, SODIUM LACTATE, SALT, SPICES, NATURAL FLAVORINGS, SUGAR, SODIUM ACETATE, ONION, SILICON DIOXIDE, AND YEAST EXTRACT.",,113.0,g,,Other Meats,LI,,2021-01-22,2021-03-19,United States,,,
1192442,1776791,"JBS USA, LLC",SHOWCASE,,76338474042,GROUND BEEF,,112.0,g,,Other Meats,LI,5 lbs,2018-02-17,2021-06-17,United States,,,
1192444,1776793,"JBS USA, LLC",GRASS RUN FARMS,,76338965045,100% GRASS FED BEEF,"NOT A SIGNIFICANT SOURCE OF DIETARY FIBER, SUGARS, VITAMIN A, VITAMIN C, AND CALCIUM.",112.0,g,,Other Meats,LI,1 lbs,2019-03-23,2021-06-17,United States,,,
1206176,1790525,"JBS USA, LLC",SHOWCASE,,76338480265,USDA PRIME GROUND BEEF CHUCK.,,112.0,g,,Other Meats,LI,1 lbs,2018-02-07,2021-06-17,United States,,,
1210832,1795181,"JBS USA, LLC",,,76338428137,GROUND BEEF,,112.0,g,,Other Meats,LI,3 lbs,2021-03-23,2021-06-17,United States,,,
